epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,6815.98,1.03784,0.65077,0.0114,0.90772,0.86632,0.91478,0.60462,1.18203,0.57263,0.01333,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,7089.58,1.02887,0.64403,0.01135,0.90684,0.86655,0.91528,0.6068,1.18144,0.57281,0.0133,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,7363.31,1.02618,0.63375,0.01126,0.90256,0.86774,0.9168,0.60809,1.18098,0.57205,0.0133,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,7637,1.02617,0.63162,0.01121,0.90423,0.859,0.91621,0.60823,1.18105,0.57406,0.0133,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,7910.66,1.02203,0.61689,0.01122,0.90705,0.86147,0.91578,0.60722,1.18149,0.57651,0.0133,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,8184,1.01234,0.62084,0.01112,0.91012,0.85495,0.91463,0.60489,1.18134,0.57757,0.0133,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,8457.9,1.01213,0.62656,0.01107,0.90465,0.85691,0.9141,0.6048,1.1811,0.57828,0.0133,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,8731.34,1.00601,0.60944,0.01095,0.91318,0.85736,0.91402,0.60524,1.18034,0.58062,0.01328,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,9004.75,1.00377,0.61079,0.01091,0.90395,0.86759,0.91375,0.60597,1.18207,0.57815,0.01332,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,9275.26,0.99572,0.61082,0.01084,0.91142,0.85754,0.91313,0.60521,1.18305,0.57793,0.01333,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,9542.32,0.99285,0.60192,0.01084,0.91462,0.85481,0.9127,0.60549,1.18366,0.57911,0.01334,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,9809.13,0.9915,0.59322,0.01077,0.90581,0.85866,0.91183,0.6066,1.1842,0.57762,0.01335,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
