epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,17919.9,1.16656,0.81342,0.01293,0.86171,0.87036,0.90648,0.59737,1.19269,0.55344,0.01365,0.0203480,0.0067830,0.0203480,0.0067830,0.0203480,0.0067830,0.0203480,0.0067830
67,18192.9,1.15838,0.81755,0.01291,0.8819,0.86184,0.90315,0.59427,1.19154,0.55969,0.0136,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,18466.1,1.15974,0.80422,0.01273,0.88054,0.86513,0.90376,0.59774,1.19103,0.55544,0.01365,0.0200500,0.0066840,0.0200500,0.0066840,0.0200500,0.0066840,0.0200500,0.0066840
69,18739.1,1.15052,0.81444,0.01277,0.86885,0.86703,0.90391,0.60059,1.18777,0.55634,0.01361,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,19012.3,1.14471,0.80565,0.01268,0.86972,0.86474,0.90149,0.5966,1.18414,0.56182,0.01354,0.0197540,0.0065850,0.0197540,0.0065850,0.0197540,0.0065850,0.0197540,0.0065850
71,19285.3,1.1478,0.80463,0.01276,0.85419,0.87482,0.90061,0.59618,1.18399,0.56547,0.01355,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,19558.5,1.13594,0.78549,0.01261,0.89276,0.83869,0.89961,0.59478,1.18515,0.57037,0.01355,0.0194570,0.0064850,0.0194570,0.0064850,0.0194570,0.0064850,0.0194570,0.0064850
73,19831.6,1.13664,0.78704,0.0126,0.89018,0.84387,0.90248,0.59698,1.18403,0.57593,0.01353,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,20104.8,1.13153,0.78837,0.01259,0.86426,0.87557,0.90337,0.59801,1.1846,0.57419,0.01353,0.0191590,0.0063860,0.0191590,0.0063860,0.0191590,0.0063860,0.0191590,0.0063860
75,20377.9,1.12853,0.77576,0.0125,0.87607,0.8675,0.90299,0.5994,1.18409,0.57133,0.01354,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,20651.1,1.12568,0.76024,0.01251,0.88702,0.852,0.90198,0.59769,1.18615,0.56772,0.01357,0.0188630,0.0062870,0.0188630,0.0062870,0.0188630,0.0062870,0.0188630,0.0062870
77,20924.1,1.12251,0.77179,0.01246,0.86451,0.86816,0.89845,0.59294,1.18758,0.57213,0.01358,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,21197.2,1.11696,0.75902,0.01228,0.86597,0.86644,0.90204,0.59514,1.18642,0.57435,0.01353,0.0185650,0.0061890,0.0185650,0.0061890,0.0185650,0.0061890,0.0185650,0.0061890
79,21470.3,1.11167,0.75215,0.01227,0.86093,0.86254,0.90001,0.59597,1.18527,0.57652,0.01353,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,21743.5,1.10467,0.73652,0.01217,0.86591,0.87056,0.90371,0.60105,1.18314,0.57719,0.01348,0.0182690,0.0060900,0.0182690,0.0060900,0.0182690,0.0060900,0.0182690,0.0060900
81,22016.5,1.1089,0.74943,0.01224,0.87696,0.86138,0.90504,0.60211,1.18392,0.57243,0.01351,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,22289.7,1.10661,0.7318,0.01214,0.87928,0.86855,0.90516,0.60088,1.18221,0.57321,0.01348,0.0179720,0.0059910,0.0179720,0.0059910,0.0179720,0.0059910,0.0179720,0.0059910
83,22562.7,1.09791,0.73025,0.01214,0.87282,0.86488,0.90859,0.60095,1.18286,0.57133,0.01349,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,22835.9,1.09064,0.72149,0.01208,0.8496,0.88625,0.90807,0.60083,1.18449,0.5688,0.01349,0.0176740,0.0058920,0.0176740,0.0058920,0.0176740,0.0058920,0.0176740,0.0058920
85,23108.9,1.09512,0.70888,0.01212,0.86864,0.86798,0.90778,0.60025,1.18471,0.56763,0.01349,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,23382,1.09162,0.70458,0.01208,0.86379,0.8736,0.90548,0.5998,1.18491,0.56428,0.01349,0.0173780,0.0057920,0.0173780,0.0057920,0.0173780,0.0057920,0.0173780,0.0057920
87,23655.1,1.08693,0.70283,0.01204,0.86313,0.87429,0.90694,0.60269,1.18422,0.56833,0.01347,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,23928.2,1.08206,0.69925,0.01196,0.87884,0.86348,0.9068,0.60066,1.18409,0.57235,0.01347,0.0170800,0.0056930,0.0170800,0.0056930,0.0170800,0.0056930,0.0170800,0.0056930
89,24201.3,1.07103,0.68944,0.01178,0.87349,0.8744,0.9082,0.6009,1.18544,0.56706,0.01348,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,24474.5,1.07442,0.70749,0.01179,0.87151,0.87493,0.90845,0.60088,1.1852,0.56869,0.01349,0.0167830,0.0055940,0.0167830,0.0055940,0.0167830,0.0055940,0.0167830,0.0055940
91,24747.5,1.06627,0.70386,0.01169,0.87126,0.87563,0.90339,0.59756,1.18707,0.569,0.01351,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,25020.6,1.06896,0.6789,0.01178,0.87058,0.88041,0.90299,0.59785,1.18455,0.56719,0.01347,0.0164870,0.0054960,0.0164870,0.0054960,0.0164870,0.0054960,0.0164870,0.0054960
93,25293.6,1.06838,0.66943,0.01173,0.89211,0.86004,0.90508,0.59927,1.18336,0.56888,0.01345,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,25566.8,1.06004,0.66771,0.01167,0.88876,0.86266,0.90432,0.59918,1.18259,0.57079,0.01343,0.0161890,0.0053970,0.0161890,0.0053970,0.0161890,0.0053970,0.0161890,0.0053970
95,25839.8,1.05338,0.65544,0.01159,0.88863,0.86415,0.9038,0.59916,1.18244,0.57132,0.01343,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,26108.3,1.05523,0.66539,0.01161,0.89079,0.85983,0.90429,0.59922,1.18022,0.57271,0.01339,0.0158930,0.0052980,0.0158930,0.0052980,0.0158930,0.0052980,0.0158930,0.0052980
97,26376.3,1.04717,0.65228,0.01148,0.87226,0.88009,0.90272,0.59968,1.18041,0.572,0.01343,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,26643.7,1.04996,0.65582,0.01156,0.86938,0.88276,0.90342,0.59833,1.18225,0.57167,0.01345,0.0155950,0.0051980,0.0155950,0.0051980,0.0155950,0.0051980,0.0155950,0.0051980
99,26911.4,1.03984,0.64627,0.01144,0.88391,0.86823,0.90456,0.5986,1.18072,0.57457,0.01344,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,27179.3,1.03402,0.63566,0.01135,0.88786,0.86345,0.90421,0.5997,1.18136,0.57227,0.01343,0.0152980,0.0050990,0.0152980,0.0050990,0.0152980,0.0050990,0.0152980,0.0050990
